Date,Market_Va,Rate of change
2021-01,113.97,**
2021-02,127.18,11.5907695
2021-03,130.4,2.53184463
2021-04,137.44,5.398773006
2021-05,131.3,-4.467403958
2021-06,132.22,0.700685453
2021-07,138.41,4.681591287
2021-08,137.67,-0.534643451
2021-09,140.71,2.208178979
2021-10,131.41,-6.609338355
2021-11,128.63,-2.115516323
2021-12,131.83,2.487755578
2022-01,126.2,-4.270651597
2022-02,107.37,-14.9207607
2022-03,103.7,-3.418086989
2022-04,91.45,-11.81292189
2022-05,80.35,-12.13778021
2022-06,86.79,8.014934661
2022-07,95.87,10.4620348
2022-08,101.33,5.695212267
2022-09,96.58,-4.687654199
2022-10,99.68,3.20977428
2022-11,114.28,14.64686998
2022-12,112.79,-1.303815191
2023-01,125.13,10.94068623
2023-02,123.08,-1.638296172
2023-03,120.16,-2.372440689
2023-04,121.98,1.514647137
2023-05,123.2,1.000163961
2023-06,114.07,-7.410714286
2023-07,117.87,3.331287806
2023-08,111.5,-5.404258929
2023-09,109.13,-2.125560538
2023-10,105.4,-3.417941904
2023-11,120.62,14.4402277
2023-12,110.28,-8.572376057
2024-01,104.55,-5.195865071
2024-02,105.29,0.707795313
2024-03,103.1,-2.079969608
2024-04,97.2,-5.722599418
2024-05,82.81,-14.80452675
2024-06,90.22,8.948194662
2024-07,86.14,-4.522278874
2024-08,107.44,24.7271883
2024-09,103.29,-3.862620998
2024-10,110.84,7.309516894
2024-11,113.06,2.002887044
